Key,Description,en,it
ejectInteractable_911648,VR Interactable,Eject,Eiezione
neckPTT_2582164,VR Interactable,Radio PTT,PTT Radio
ButtonText_952188,UI Text,"Recenter
seat","Centra
sedile"
ButtonText_954842,UI Text,"exit
mission","Esci dalla
Missione"
ButtonText_915708,UI Text,"Recenter
seat","Centra
sedile"
ButtonText_913026,UI Text,Restart,Riavvia
ButtonText_913894,UI Text,"exit
mission","Esci dalla
Missione"
ButtonText_913940,UI Text,"Quick
save","Salvataggio
Rapido"
ButtonText_915630,UI Text,Load,Carica
ButtonText_913374,UI Text,Save,Salva
Label_280922,HUD Unit label (mach),M,M
Label_280582,HUD Unit label (g-force),G,G
helmVisorInteractable_913784,VR Interactable,Visor,Visore
helmNVGInteractable_916002,VR Interactable,NVG,Visore Notturno
PendingText_912704,UI Text,in progress...,In Progresso...
CompleteText_915034,UI Text,COMPLETE,COMPLETATO
MissionText_913392,UI Text,"MISSION
",MISSIONE
FailedText_916378,UI Text,FAILED,FALLITA
Handle_395644,VR Interactable,Scroll,Scorri
Text_913356,UI Text,Restart Mission,Riavvia Missione
ReturnButton_915862,VR Interactable,Return to Main,Ritorna al menù
Text_916314,UI Text,Finish Mission,Finisci Missione
ToggleLogButton_915924,VR Interactable,Toggle Flight Log,At
Text_915514,UI Text,Show/Hide Flight Log,Mostra/Nascondi Registro di Volo
ContinueFlightButton_914390,VR Interactable,Continue Flight,Continua Volo
Quickload_414134,VR Interactable,Quickload,Caricamento Rapido
Text_913888,UI Text,Flight log,Registro di Volo
UpIcon_915836,VR Interactable,Scroll Up,Scorri su
DnIcon_916128,VR Interactable,Scroll Down,Scorri giù
BottomIcon_913766,VR Interactable,To Bottom,In Fondo
SaveToDiskText_912244,VR Interactable,Save Flight Log,Salva Registro di Volo
completionTimeLabel_-10687514,UI Text,Completion Time:,Tempo di Completamento:
joyInteractable_915260,VR Interactable,Joystick,Stick
joyAdjustInteractable_916106,VR Interactable,Adjust Joystick,Muovi Sticv
AdjLeftButton_916408,VR Interactable,Adjust Left,Muovi a Sinistra
AdjRightButton_913538,VR Interactable,Adjust Right,Muovi a Destra
AdjFwdButton_915546,VR Interactable,Adjust Forward,Muovi Avanti
AdjBackButton_916410,VR Interactable,Adjust Back,Muovi Indietro
AdjUpButton_912256,VR Interactable,Adjust Up,Muovi su
AdjDownButton_915128,VR Interactable,Adjust Down,Muovi giù
ToggleAdjustJoyInteractable_911908,VR Interactable,Toggle Auto Adjust,Attiva/Disattiva Auto Adjust
