Key,Description,en,it
canopyFrame.003_954194,VR Interactable,Mirror,Specchio
joyInteractable_953200,VR Interactable,Joystick,Stick
joyAdjustInteractable_955138,VR Interactable,Adjust Joystick,Aggiusta Stick
AdjLeftButton_952542,VR Interactable,Adjust Left,Aggiusta Sinistra
AdjRightButton_954950,VR Interactable,Adjust Right,Aggiusta Destra
AdjFwdButton_954070,VR Interactable,Adjust Forward,Aggiusta Avanti
AdjBackButton_954494,VR Interactable,Adjust Back,Aggiusta Indietro
AdjUpButton_956738,VR Interactable,Adjust Up,Aggiusta Su
AdjDownButton_955744,VR Interactable,Adjust Down,Aggiusta Giù
ToggleAdjustJoyInteractable_952782,VR Interactable,Toggle Auto Adjust,Attiva/Disattiva Auto Aggiusta
Text_955910,UI Text,AUTO,AUTO
throttleInteractable_956892,VR Interactable,Throttle,Manetta
ejectInteractable_952116,VR Interactable,Eject,Eiezione
ButtonText_952188,UI Text,"Recenter
seat","Centra
sedile"
ButtonText_954848,UI Text,Restart,Riavvio
ButtonText_954842,UI Text,"exit
mission","esci dalla
missione"
ButtonText_955448,UI Text,"Quick
save","Salvataggio 
rapido"
ButtonText_953872,UI Text,Load,Carica
ButtonText_955618,UI Text,Save,Salva
helmVisorInteractable_955814,VR Interactable,Visor,Visore
helmNVGInteractable_955816,VR Interactable,NVG,Visore Notturno
PendingText_955728,UI Text,in progress...,In progresso...
CompleteText_953308,UI Text,COMPLETE,COMPLETATO
MissionText_954156,UI Text,"MISSION
",MISSIONE
FailedText_955730,UI Text,FAILED,FALLITA
Handle_115524,VR Interactable,Scroll,Scorri
Text_952430,UI Text,Restart Mission,Riavvia Missione
ReturnButton_955218,VR Interactable,Return to Main,Ritorna al Menu
Text_952202,UI Text,Finish Mission,Finisci Missione
ToggleLogButton_953462,VR Interactable,Toggle Flight Log,Attiva/Disattiva Registro di Volo
Text_956176,UI Text,Show/Hide Flight Log,Mostra/Nascondi Registro di Volo
ContinueFlightButton_954168,VR Interactable,Continue Flight,Continua Volo
Text_956284,UI Text,Flight log,Registro Volo
UpIcon_954544,VR Interactable,Scroll Up,Scorri Su
DnIcon_955334,VR Interactable,Scroll Down,Scorri Giù
BottomIcon_954644,VR Interactable,To Bottom,In Fondo
SaveToDiskText_952718,VR Interactable,Save Flight Log,Salva Registro Volo
completionTimeLabel_1297772,UI Text,Completion Time:,Tempo Completamento:
visorButtonInteractable_955012,VR Interactable,Toggle Visor,Attiva/Disattiva Visore
nvgButtonInteractable_954948,VR Interactable,Toggle NVG,Attiva/Disattiva Visore Notturno
HUDTintKnob_954844,VR Interactable,HUD Tint,Tinta HUD
MasterCautionInteractable_955266,VR Interactable,Clear Cautions,Rimuovi Allarmi
AltitudeModeInteractable_954586,VR Interactable,Toggle Altitude Mode,Imposta Modalità Altitudine
ClrWptButton_956888,VR Interactable,Clear Waypoint,Rimuovi Waypoint
headingAPButton_956800,VR Interactable,Heading Hold,Mantenimento direzione
altitudeAPButton_952938,VR Interactable,Altitude Hold,"Mantenimeno altitudine "
speedAPButton_-3021126,VR Interactable,Airspeed Hold,Mantenimento velocità
offAPButton_953862,VR Interactable,All AP Off,Tutti AP Off
navAPButton_953656,VR Interactable,Navigation Mode,Modalità Navigazione
