Key,Description,en,it
AIM-120 Advanced Radar Missile_fullName,Full equip name of: AIM-120 Advanced Radar Missile,AIM-120 Advanced Radar Missile,AIM-120 Missile Radar Avanzato
AIM-120 Advanced Radar Missile_description,Item description of: AIM-120 Advanced Radar Missile,"Radar guided medium range air to air missile.
","Missile aria-aria a guida radar, medio raggio"
eqSublabel_RADAR-AAM,HUD sub-label of an equip,RADAR AAM,RADAR AAM
AGM-89 Anti-ship Cruise Missile x2_fullName,Full equip name of: AGM-89 Anti-ship Cruise Missile x2,AGM-89 Anti-ship Cruise Missile x2,AGM-89 Missile Cruise Anti-nave x2
AGM-89 Anti-ship Cruise Missile x2_description,Item description of: AGM-89 Anti-ship Cruise Missile x2,"Air-launched anti-ship cruise missile.  Equipped with waypoint following, radar target acquisition, and terminal maneuvering technology.","Missile Cruise Anti-nave. Equipaggiato con Inseguimento rotta via waypoint, acquisizione radar, e tecnologia di manovre terminali."
eqSublabel_ANTI-SHIP-CRUISE,HUD sub-label of an equip,ANTI-SHIP CRUISE,CRUISE ANTI-NAVE
asml_terminalMode,An option for anti-ship cruise missiles' flight behavior in the last (terminal) phase of guidance.,TERMINAL MODE,MODALITA' TERMINALE
asml_noTarget,HUD label shown when the selected anti-ship missile has no target.,NO TARGET,NESSUN BERSAGLIO
asml_overRange,HUD label shown when the selected anti-ship missile has a target that is too far away.,OVER RANGE,FUORI RAGGIO
asml_inRange,HUD label shown when the selected anti-ship missile has a target that is within firing range.,IN RANGE,IN RAGGIO
asml_path,HUD label shown when the selected anti-ship missile will follow a flight path.,PATH,PERCORSO
asml_point,HUD label shown when the selected anti-ship missile will fly to a specific target point.,POINT,PUNTO
s_asmTmode_0,Antiship terminal guidance mode,Direct,Diretto
s_asmTmode_1,Antiship terminal guidance mode,SeaSkim,PeloMare
s_asmTmode_2,Antiship terminal guidance mode,SSEvasive,SSEvasivo
s_asmTmode_3,Antiship terminal guidance mode,Popup,Popup
ASM-66LR_fullName,Full equip name of: ASM-66LR,ASM-66LR,ASM-66LR
ASM-66LR_description,Item description of: ASM-66LR,Active radar-guided surface to air missile. Equipped with first stage booster for extended range.,Missile Aria-terra a guida radar attiva. Equipaggiato con un booster al primo stadio per un raggio migliore.
