Key,Description,en,it
Icon_734792,VR Interactable,Show Info,Mostra Info
Text_734764,UI Text,Info,Info
ButtonUp_734786,VR Interactable,Vote Up,Voto Su
ButtonDown_734790,VR Interactable,Vote Down,Voto Giù
Button_734788,VR Interactable,Favorite,Preferito
ButtonActive_734758,VR Interactable,Unfavorite,Non preferito
Button_734784,VR Interactable,Subscribe & Download,Sottoscrivi & Scarica
Text_734748,UI Text,ADD,AGGIUNGI
ButtonActive_734798,VR Interactable,Remove Subscription,Rimuovi Sottoscrizione
Text (1)_734794,UI Text,REMOVE,RIMUOVI
ButtonPlay_734746,VR Interactable,Play,Play
